,precision,recall,f1-score,support
academic_calendar,1.0,1.0,1.0,66.0
admission,0.9594594594594594,0.9861111111111112,0.9726027397260274,72.0
application,1.0,1.0,1.0,69.0
assignments,1.0,1.0,1.0,67.0
attendance,1.0,1.0,1.0,66.0
campus,0.855072463768116,0.8939393939393939,0.8740740740740741,66.0
canteen,1.0,1.0,1.0,66.0
contact_information,1.0,1.0,1.0,67.0
courses,1.0,1.0,1.0,82.0
departments,1.0,1.0,1.0,67.0
eligibility,0.9864864864864865,0.9605263157894737,0.9733333333333334,76.0
events,1.0,1.0,1.0,66.0
exam_schedule,1.0,1.0,1.0,67.0
examination,1.0,1.0,1.0,67.0
faculty,1.0,1.0,1.0,67.0
fees,1.0,1.0,1.0,71.0
greeting,1.0,1.0,1.0,61.0
hod,1.0,1.0,1.0,67.0
hostel,1.0,1.0,1.0,66.0
hostel_fees,1.0,1.0,1.0,67.0
internships,1.0,1.0,1.0,67.0
library,1.0,1.0,1.0,67.0
library_books,1.0,1.0,1.0,67.0
placements,1.0,1.0,1.0,67.0
results,1.0,1.0,1.0,67.0
scholarships,1.0,1.0,1.0,66.0
sports,1.0,1.0,1.0,66.0
syllabus,1.0,1.0,1.0,69.0
timetable,0.890625,0.8507462686567164,0.8702290076335878,67.0
transportation,1.0,1.0,1.0,67.0
accuracy,0.9896704377766847,0.9896704377766847,0.9896704377766847,0.9896704377766847
macro avg,0.9897214469904687,0.9897107696498898,0.989674638492234,2033.0
weighted avg,0.9897494892586078,0.9896704377766847,0.9896679601544254,2033.0
